"cluster","period","temperature_c","or_cumulative","or_low_95","or_high_95","centering_temp_c","temp_lower_bound_c","temp_upper_bound_c"
"cluster_1","2022-2025",28.4596522366523,0.966360403689487,0.907366372301831,1.02919003648977,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",28.7921861471862,0.962894708612102,0.899631899091766,1.03060620772698,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",29.1247200577201,0.95940996697997,0.892426794369966,1.03142071769633,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",29.457253968254,0.955936317556422,0.885835084919215,1.03158506451194,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",29.7897878787879,0.952489989019562,0.879794801306684,1.03119179362624,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",30.1223217893218,0.949070850682747,0.87409883005066,1.03047326989726,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",30.4548556998557,0.945677821595896,0.868519806254778,1.02969044092935,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",30.7873896103896,0.942309835287051,0.862827094449377,1.0291144441232,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",31.1199235209235,0.938965839508186,0.856800331886486,1.02901086163459,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",31.4524574314575,0.935644795992707,0.850245637482094,1.02962149486673,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",31.7849913419914,0.932345680224378,0.843011451507296,1.03114668950085,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",32.1175252525253,0.929067481217438,0.8349999351051,1.03373227753254,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",32.4500591630592,0.925809201307647,0.826170794297123,1.03746426664127,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",32.7825930735931,0.922569855954038,0.816536985585231,1.04237181430921,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",33.115126984127,0.919348473551133,0.806154448373234,1.04843633565052,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",33.4476608946609,0.916144095251396,0.795109299208489,1.05560330397282,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",33.7801948051948,0.912955774797712,0.783505541325963,1.06379368463169,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",34.1127287157287,0.909782578365658,0.771455069335183,1.07291321659336,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",34.4452626262626,0.906623584415359,0.759070491212775,1.08285901419365,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",34.7777965367966,0.903477883552727,0.746460498451548,1.09352375345003,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",35.1103304473305,0.900344578399866,0.733727199269529,1.10479802392641,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",35.4428643578644,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",35.7753982683983,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",36.1079321789322,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",36.4404660894661,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",36.773,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_2","2018-2021",-2.34357142857143,NA,NA,NA,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",-2.02564069264069,NA,NA,NA,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",-1.70770995670996,NA,NA,NA,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",-1.38977922077922,NA,NA,NA,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",-1.07184848484849,NA,NA,NA,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",-0.753917748917751,NA,NA,NA,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",-0.435987012987015,1.30813825580755,1.17463834841351,1.45681068442762,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",-0.118056277056279,1.30073895993615,1.17279817918319,1.44263682526702,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",0.199874458874457,1.29338301059136,1.17073898673724,1.42887495081072,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",0.517805194805192,1.28607153925311,1.16843245350097,1.41555465968192,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",0.835735930735928,1.2788056475306,1.16585292094249,1.40270170857755,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",1.15366666666666,1.27158640763516,1.16297848468186,1.39033697818134,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",1.4715974025974,1.26441486286186,1.15979220652283,1.37847533069667,19.7727272727273,-2.34357142857143,29.1315714285714
"cluster_2","2018-2021",1.78952813852814,1.25729202807907,1.15628336251357,1.36712443949277,19.7727272727273,-2.34357142857143,29.1315714285714
