"temperature_C","rr_cumulative","rr_low_95","rr_high_95","or_cumulative","or_low_95","or_high_95"
6.4,1.16736796585737,1.13202390010681,1.20381554451403,1.16736796585737,1.13202390010681,1.20381554451403
6.5,1.16611723868349,1.13089541068412,1.20243605333245,1.16611723868349,1.13089541068412,1.20243605333245
6.6,1.1648629055275,1.12976338704462,1.20105289676941,1.1648629055275,1.12976338704462,1.20105289676941
6.7,1.16360511033376,1.12862794810647,1.19966624525508,1.16360511033376,1.12862794810647,1.19966624525508
6.8,1.16234399651553,1.12748921160597,1.19827626936783,1.16234399651553,1.12748921160597,1.19827626936783
6.9,1.16107970695097,1.12634729418718,1.19688313973019,1.16107970695097,1.12634729418718,1.19688313973019
7,1.15981238397931,1.12520231149019,1.19548702690654,1.15981238397931,1.12520231149019,1.19548702690654
7.1,1.15854216939711,1.12405437823818,1.19408810130266,1.15854216939711,1.12405437823818,1.19408810130266
7.2,1.15726920445482,1.12290360832317,1.1926865330671,1.15726920445482,1.12290360832317,1.1926865330671
7.3,1.15599362985338,1.12175011489046,1.19128249199429,1.15599362985338,1.12175011489046,1.19128249199429
7.4,1.15471558574111,1.12059401042189,1.18987614742956,1.15471558574111,1.12059401042189,1.18987614742956
7.5,1.15343521171069,1.11943540681767,1.18846766817586,1.15343521171069,1.11943540681767,1.18846766817586
7.6,1.15215264679633,1.11827441547701,1.18705722240238,1.15215264679633,1.11827441547701,1.18705722240238
7.7,1.1508680294711,1.11711114737739,1.18564497755499,1.1508680294711,1.11711114737739,1.18564497755499
7.8,1.14958149764446,1.11594571315248,1.1842311002685,1.14958149764446,1.11594571315248,1.1842311002685
7.9,1.14829318865991,1.11477822316878,1.1828157562808,1.14829318865991,1.11477822316878,1.1828157562808
8,1.14700323929283,1.11360878760078,1.18139911034888,1.14700323929283,1.11360878760078,1.18139911034888
8.1,1.14571178574848,1.1124375165048,1.17998132616673,1.14571178574848,1.1124375165048,1.17998132616673
8.2,1.14441896366014,1.1112645198914,1.17856256628524,1.14441896366014,1.1112645198914,1.17856256628524
8.3,1.14312490808746,1.11008990779627,1.17714299203392,1.14312490808746,1.11008990779627,1.17714299203392
8.4,1.1418297535149,1.1089137903497,1.17572276344472,1.1418297535149,1.1089137903497,1.17572276344472
8.5,1.14053363385041,1.10773627784448,1.17430203917782,1.14053363385041,1.10773627784448,1.17430203917782
8.6,1.13923668242417,1.10655748080228,1.17288097644945,1.13923668242417,1.10655748080228,1.17288097644945
8.7,1.13793903198759,1.1053775100384,1.17145973096184,1.13793903198759,1.1053775100384,1.17145973096184
