"state","date","temp","deaths","Ni","rr_i","ac_i"
"New York",2024-08-10,22.1857142857143,87,92.25,1.15120205593242,12.1163696571655
"New York",2024-08-17,21.2571428571429,94,92.5,1.14623111727544,11.8007425763575
"New York",2024-08-24,18.8714285714286,97,95.375,1.13355782422148,11.2372542564132
"New York",2024-08-31,21.1857142857143,98,97.375,1.14584962763374,12.394390283273
"New York",2024-09-07,19,95,99.75,1.13423722984537,11.8054348109353
"New York",2024-09-14,17.6714285714286,93,99.875,1.1272362970833,11.2733463286052
"New York",2024-09-21,19.8142857142857,92,103.25,1.13854959844992,12.5644469590348
"New York",2024-09-28,17.0571428571429,82,102.25,1.12401393182764,11.2813766540755
"New York",2024-10-05,16.8,89,102,1.12266777134062,11.1449825105442
"New York",2024-10-12,12.4428571428571,117,101.875,1.100101379978,9.26989845741515
"New York",2024-10-19,8.24285714285714,113,101.375,1.07877831868435,7.40295936459423
"New York",2024-10-26,12.5571428571429,117,100.5,1.10068745226735,9.19342628284158
"New York",2024-11-02,11.3714285714286,96,99.125,1.09462210609291,8.56863406489919
"New York",2024-11-09,10.0142857142857,120,99.875,1.08772085233717,8.0545666733798
"New York",2024-11-16,5.44285714285714,84,98.125,1.06479305385257,5.97094279144641
"New York",2024-11-23,7.07142857142857,80,101,1.07290512950314,6.8630654074952
"New York",2024-11-30,2.55714285714286,88,106.25,1.05056935841139,5.11436421421498
"New York",2024-12-07,-2.84285714285714,113,109.625,1.02446120143804,2.61753124850507
"New York",2024-12-14,1.28571428571429,106,110.125,1.04436293265892,4.67794078694967
"New York",2024-12-21,0.328571428571429,106,111,1.03971488202561,4.23996230221755
"New York",2024-12-28,-8.02857142857143,102,113.125,1,0
"New York",2025-01-04,2.77142857142857,106,113,1.05161901126127,5.54663638643011
"New York",2025-01-11,-5.77142857142857,107,113.5,1.01057440817007,1.18763677132495
"New York",2025-01-18,-3.08571428571429,122,114.75,1.02330239331706,2.61305910217263
"New York",2025-02-01,-3.8,115,112.5,1.01990172562055,2.19525477412994
"New York",2025-02-08,-4.32857142857143,117,110.875,1.01739250933273,1.89542821927367
"New York",2025-02-15,-3.95714285714286,113,107.75,1.01915509666017,2.02516935047139
"New York",2025-02-22,-7,123,107.625,1.00480492510543,0.514657175289672
"New York",2025-03-01,1.35714285714286,101,105,1.04471063416475,4.49370039298197
"New York",2025-03-08,-0.157142857142857,110,105.875,1.03736408800448,3.81343721381797
"New York",2025-03-15,5.32857142857143,117,103.875,1.0642260939027,6.26886104594313
"New York",2025-03-22,7.31428571428571,104,100.5,1.07412010875584,6.93504466515367
"New York",2025-03-29,3.01428571428571,102,100.25,1.05280988568743,5.0286296815194
"New York",2025-04-05,8.14285714285714,92,100.375,1.07827569622616,7.28656227363668
"New York",2025-04-12,3.62857142857143,112,100.875,1.05582812051566,5.33388110014219
"New York",2025-04-19,9.85714285714286,102,98.25,1.08692457572663,7.857343329855
"New York",2025-04-26,13,108,98.875,1.10296143297083,9.22997974423254
"New York",2025-05-03,14.0142857142857,94,96.875,1.10818729974338,9.45746686058084
"New York",2025-05-10,13.6142857142857,90,95,1.10612344413395,9.11446841325964
"New York",2025-05-17,17.6428571428571,102,96.25,1.12708621498938,10.8528061385642
"New York",2025-05-24,10.7857142857143,103,95.5,1.09163831566029,8.01681199717155
"New York",2025-05-31,15.3714285714286,96,96,1.11521840680359,9.91820703968402
"New York",2025-06-07,18,91,94.125,1.12896367824323,10.7520786085281
"New York",2025-06-14,18.7142857142857,107,92.5,1.13272799221063,10.8387356575546
"New York",2025-06-21,20.5428571428571,92,89.625,1.14242192933773,11.1732496454213
"New York",2025-06-28,24.2714285714286,79,90.25,1.16244628341505,12.6120039156886
"New York",2025-07-05,22.1714285714286,100,90.75,1.15112541691415,11.9141071715055
"New York",2025-07-12,25.0428571428571,96,90,1.16663287289762,12.8549082656459
"New York",2025-07-19,24.6,107,90.75,1.16422762049105,12.8013253570436
"New York",2025-07-26,23.1428571428571,81,88.875,1.15634851053997,12.0166833334282
"New York",2025-08-02,22.4571428571429,78,90.75,1.15265916712908,12.0190077102056
"New York",2025-08-09,21.8285714285714,84,92.625,1.14928761032233,12.0315966011566
"New York",2025-08-16,24,97,95.375,1.1609768000297,13.2243489296597
"New York",2025-08-23,19.1428571428571,83,94.625,1.13499260258138,11.2544125752105
"New York",2025-08-30,18.1285714285714,94,95.375,1.12964033033435,10.945471911382
"New York",2025-09-06,19.2142857142857,102,97,1.13537047757548,11.5653318314759
