"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Sex","Sex Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2016","2016","Renal failure","N17-N19","Male","M",53680,159078923,33.7,33.9,2.8%
"Total","2016","2016","Renal failure","N17-N19",,,100472,323127513,31.1,26.4,5.2%
"Total","2016","2016",,,,,100472,323127513,31.1,26.4,5.2%
,"2017","2017","Renal failure","N17-N19","Female","F",49845,165311059,30.2,22.0,2.6%
,"2017","2017","Renal failure","N17-N19","Male","M",56426,160408119,35.2,34.6,2.9%
"Total","2017","2017","Renal failure","N17-N19",,,106271,325719178,32.6,27.2,5.5%
"Total","2017","2017",,,,,106271,325719178,32.6,27.2,5.5%
,"2018","2018","Renal failure","N17-N19","Female","F",51729,166038755,31.2,22.5,2.7%
,"2018","2018","Renal failure","N17-N19","Male","M",59375,161128679,36.8,35.4,3.1%
"Total","2018","2018","Renal failure","N17-N19",,,111104,327167434,34.0,27.9,5.7%
"Total","2018","2018",,,,,111104,327167434,34.0,27.9,5.7%
,"2019","2019","Renal failure","N17-N19","Female","F",54240,166582199,32.6,23.1,2.8%
,"2019","2019","Renal failure","N17-N19","Male","M",61697,161657324,38.2,35.9,3.2%
"Total","2019","2019","Renal failure","N17-N19",,,115937,328239523,35.3,28.5,6.0%
"Total","2019","2019",,,,,115937,328239523,35.3,28.5,6.0%
,"2020","2020","Renal failure","N17-N19","Female","F",63194,167227921,37.8,26.5,3.3%
,"2020","2020","Renal failure","N17-N19","Male","M",73137,162256202,45.1,41.7,3.8%
"Total","2020","2020","Renal failure","N17-N19",,,136331,329484123,41.4,32.9,7.0%
"Total","2020","2020",,,,,136331,329484123,41.4,32.9,7.0%
"Total",,,,,,,1938505,6746356647,28.7,26.3,100.0%
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: N18.0 (End-stage renal disease); N18.1 (Chronic kidney disease, stage 1); N18.2 (Chronic kidney disease,"
"stage 2); N18.3 (Chronic kidney disease, stage 3); N18.4 (Chronic kidney disease, stage 4); N18.5 (Chronic kidney disease, stage"
"5); N18.8 (Other chronic renal failure); N18.9 (Chronic renal failure, unspecified)"
"Group By: Year; MCD - ICD Sub-Chapter; Sex"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Mar 2, 2026 8:46:27 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Mar 2, 2026 8:46:27 PM"
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies."
"5. These items in the results table are not fully selected: Renal failure. The Query Description lists the actual values"
"selected."
"6. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2000 Standard Population."
"7. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Age-Adjusted Rates."
"8. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"9. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
