"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Sex","Sex Code","Deaths","Population","Crude Rate","Age Adjusted Rate","% of Total Deaths","source_file","Crude Rate Lower 95% Confidence Interval","Crude Rate Upper 95% Confidence Interval","Age Adjusted Rate Lower 95% Confidence Interval","Age Adjusted Rate Upper 95% Confidence Interval"
"","2023",2023,"Renal failure","N17-N19","Male","M",65571,165749400,39.6,36.2,,"N182018",39.3,39.9,35.9,36.5
"Total","2023",2023,"Renal failure","N17-N19","","",124497,334914895,37.2,29.5,,"N182018",37,37.4,29.4,29.7
"Total","2023",2023,"","","","",124497,334914895,37.2,29.5,,"N182018",37,37.4,29.4,29.7
"","2024",2024,"Renal failure","N17-N19","Female","F",59982,171773106,34.9,24.2,,"N182018",34.6,35.2,24.1,24.4
"","2024",2024,"Renal failure","N17-N19","Male","M",67130,168337882,39.9,35.7,,"N182018",39.6,40.2,35.4,36
"Total","2024",2024,"Renal failure","N17-N19","","",127112,340110988,37.4,29.2,,"N182018",37.2,37.6,29,29.3
"Total","2024",2024,"","","","",127112,340110988,37.4,29.2,,"N182018",37.2,37.6,29,29.3
"","2025 (provisional)",2025,"Renal failure","N17-N19","Female","F",62706,171773106,36.5,25.4,,"N182018",36.2,36.8,25.2,25.6
"","2025 (provisional)",2025,"Renal failure","N17-N19","Male","M",69148,168337882,41.1,36.8,,"N182018",40.8,41.4,36.5,37.1
"Total","2025 (provisional)",2025,"Renal failure","N17-N19","","",131854,340110988,38.8,30.3,,"N182018",38.6,39,30.1,30.4
"Total","2025 (provisional)",2025,"","","","",131854,340110988,38.8,30.3,,"N182018",38.6,39,30.1,30.4
"Total","",,"","","","",1017554,2665209253,38.2,30.5,,"N182018",38.1,38.3,30.5,30.6
"---","",,"","","","",,,,,,"N182018",,,,
"Dataset: Provisional Mortality Statistics, 2018 through Last Week","",,"","","","",,,,,,"N182018",,,,
"Query Parameters:","",,"","","","",,,,,,"N182018",,,,
"MCD - ICD-10 Codes: N18.0 (End-stage renal disease); N18.1 (Chronic kidney disease, stage 1); N18.2 (Chronic kidney disease,","",,"","","","",,,,,,"N182018",,,,
"stage 2); N18.3 (Chronic kidney disease, stage 3); N18.4 (Chronic kidney disease, stage 4); N18.5 (Chronic kidney disease, stage","",,"","","","",,,,,,"N182018",,,,
"5); N18.8 (Other chronic renal failure); N18.9 (Chronic renal failure, unspecified)","",,"","","","",,,,,,"N182018",,,,
"Year/Month: 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025 (provisional)","",,"","","","",,,,,,"N182018",,,,
"Group By: Year; MCD - ICD Sub-Chapter; Sex","",,"","","","",,,,,,"N182018",,,,
"Show Totals: True","",,"","","","",,,,,,"N182018",,,,
"Show Zero Values: False","",,"","","","",,,,,,"N182018",,,,
"Show Suppressed: False","",,"","","","",,,,,,"N182018",,,,
"Standard Population: 2000 U.S. Std. Population","",,"","","","",,,,,,"N182018",,,,
"Calculate Rates Per: 100,000","",,"","","","",,,,,,"N182018",,,,
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)","",,"","","","",,,,,,"N182018",,,,
"---","",,"","","","",,,,,,"N182018",,,,
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information.","",,"","","","",,,,,,"N182018",,,,
"---","",,"","","","",,,,,,"N182018",,,,
"Query Date: Mar 2, 2026 8:49:12 PM","",,"","","","",,,,,,"N182018",,,,
"---","",,"","","","",,,,,,"N182018",,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics","",,"","","","",,,,,,"N182018",,,,
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2024,","",,"","","","",,,,,,"N182018",,,,
"and from provisional data for years 2025 and later, as compiled from data provided by the 57 vital statistics jurisdictions","",,"","","","",,,,,,"N182018",,,,
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Mar 2, 2026","",,"","","","",,,,,,"N182018",,,,
"8:49:12 PM","",,"","","","",,,,,,"N182018",,,,
"---","",,"","","","",,,,,,"N182018",,,,
"Footnotes:","",,"","","","",,,,,,"N182018",,,,
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths.","",,"","","","",,,,,,"N182018",,,,
"Note that any single death record may have up to 20 causes. More information.","",,"","","","",,,,,,"N182018",,,,
"---","",,"","","","",,,,,,"N182018",,,,
"Caveats:","",,"","","","",,,,,,"N182018",,,,
"1. These items in the results table are not fully selected: Renal failure. The Query Description lists the actual values","",,"","","","",,,,,,"N182018",,,,
"selected.","",,"","","","",,,,,,"N182018",,,,
"2. The populations used to calculate standard age-adjusted rates are documented here: More information:","",,"","","","",,,,,,"N182018",,,,
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#2000 Standard Population.","",,"","","","",,,,,,"N182018",,,,
"3. The method used to calculate age-adjusted rates is documented here: More information:","",,"","","","",,,,,,"N182018",,,,
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age-Adjusted Rates.","",,"","","","",,,,,,"N182018",,,,
"4. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates.","",,"","","","",,,,,,"N182018",,,,
"5. The method used to calculate 95% confidence intervals is documented here: More information:","",,"","","","",,,,,,"N182018",,,,
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Confidence-Intervals.","",,"","","","",,,,,,"N182018",,,,
"6. The population estimates for years 2022 - 2026 are from separate series of estimates based on the Modified Blended Base","",,"","","","",,,,,,"N182018",,,,
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of","",,"","","","",,,,,,"N182018",,,,
"the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020","",,"","","","",,,,,,"N182018",,,,
"Census data from the internal Census Edited File (CEF). Each subsequent series of estimates adjusts the methodology. The","",,"","","","",,,,,,"N182018",,,,
