"state","residence_state_code","mmwr_week","mmwr_week_code","year","week","week_end_date","icd_chapter","icd_chapter_code","deaths"
"Alabama","01","2020 Week 16 ending April 18, 2020","2020/16",2020,16,2020-04-18,"Diseases of the genitourinary system","N00-N99",11
"Alabama","01","2020 Week 17 ending April 25, 2020","2020/17",2020,17,2020-04-25,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2020 Week 18 ending May 02, 2020","2020/18",2020,18,2020-05-02,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2020 Week 19 ending May 09, 2020","2020/19",2020,19,2020-05-09,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2020 Week 20 ending May 16, 2020","2020/20",2020,20,2020-05-16,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2020 Week 21 ending May 23, 2020","2020/21",2020,21,2020-05-23,"Diseases of the genitourinary system","N00-N99",21
"Alabama","01","2020 Week 22 ending May 30, 2020","2020/22",2020,22,2020-05-30,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2020 Week 23 ending June 06, 2020","2020/23",2020,23,2020-06-06,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2020 Week 24 ending June 13, 2020","2020/24",2020,24,2020-06-13,"Diseases of the genitourinary system","N00-N99",17
"Alabama","01","2020 Week 25 ending June 20, 2020","2020/25",2020,25,2020-06-20,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2020 Week 26 ending June 27, 2020","2020/26",2020,26,2020-06-27,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2020 Week 27 ending July 04, 2020","2020/27",2020,27,2020-07-04,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2020 Week 28 ending July 11, 2020","2020/28",2020,28,2020-07-11,"Diseases of the genitourinary system","N00-N99",24
"Alabama","01","2020 Week 29 ending July 18, 2020","2020/29",2020,29,2020-07-18,"Diseases of the genitourinary system","N00-N99",15
"Alabama","01","2020 Week 30 ending July 25, 2020","2020/30",2020,30,2020-07-25,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2020 Week 31 ending August 01, 2020","2020/31",2020,31,2020-08-01,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2020 Week 32 ending August 08, 2020","2020/32",2020,32,2020-08-08,"Diseases of the genitourinary system","N00-N99",28
"Alabama","01","2020 Week 33 ending August 15, 2020","2020/33",2020,33,2020-08-15,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2020 Week 34 ending August 22, 2020","2020/34",2020,34,2020-08-22,"Diseases of the genitourinary system","N00-N99",30
"Alabama","01","2020 Week 35 ending August 29, 2020","2020/35",2020,35,2020-08-29,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2020 Week 36 ending September 05, 2020","2020/36",2020,36,2020-09-05,"Diseases of the genitourinary system","N00-N99",16
"Alabama","01","2020 Week 37 ending September 12, 2020","2020/37",2020,37,2020-09-12,"Diseases of the genitourinary system","N00-N99",18
"Alabama","01","2020 Week 38 ending September 19, 2020","2020/38",2020,38,2020-09-19,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2020 Week 39 ending September 26, 2020","2020/39",2020,39,2020-09-26,"Diseases of the genitourinary system","N00-N99",12
"Alabama","01","2020 Week 40 ending October 03, 2020","2020/40",2020,40,2020-10-03,"Diseases of the genitourinary system","N00-N99",16
"Alabama","01","2020 Week 41 ending October 10, 2020","2020/41",2020,41,2020-10-10,"Diseases of the genitourinary system","N00-N99",21
"Alabama","01","2020 Week 42 ending October 17, 2020","2020/42",2020,42,2020-10-17,"Diseases of the genitourinary system","N00-N99",29
"Alabama","01","2020 Week 43 ending October 24, 2020","2020/43",2020,43,2020-10-24,"Diseases of the genitourinary system","N00-N99",22
"Alabama","01","2020 Week 44 ending October 31, 2020","2020/44",2020,44,2020-10-31,"Diseases of the genitourinary system","N00-N99",16
"Alabama","01","2020 Week 45 ending November 07, 2020","2020/45",2020,45,2020-11-07,"Diseases of the genitourinary system","N00-N99",33
"Alabama","01","2020 Week 46 ending November 14, 2020","2020/46",2020,46,2020-11-14,"Diseases of the genitourinary system","N00-N99",16
"Alabama","01","2020 Week 47 ending November 21, 2020","2020/47",2020,47,2020-11-21,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2020 Week 48 ending November 28, 2020","2020/48",2020,48,2020-11-28,"Diseases of the genitourinary system","N00-N99",33
"Alabama","01","2020 Week 49 ending December 05, 2020","2020/49",2020,49,2020-12-05,"Diseases of the genitourinary system","N00-N99",22
"Alabama","01","2020 Week 50 ending December 12, 2020","2020/50",2020,50,2020-12-12,"Diseases of the genitourinary system","N00-N99",29
"Alabama","01","2020 Week 51 ending December 19, 2020","2020/51",2020,51,2020-12-19,"Diseases of the genitourinary system","N00-N99",35
"Alabama","01","2020 Week 52 ending December 26, 2020","2020/52",2020,52,2020-12-26,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2020 Week 53 ending January 02, 2021","2020/53",2020,53,2021-01-02,"Diseases of the genitourinary system","N00-N99",32
"Alabama","01","2021 Week 01 ending January 09, 2021","2021/01",2021,1,2021-01-09,"Diseases of the genitourinary system","N00-N99",33
"Alabama","01","2021 Week 02 ending January 16, 2021","2021/02",2021,2,2021-01-16,"Diseases of the genitourinary system","N00-N99",37
"Alabama","01","2021 Week 03 ending January 23, 2021","2021/03",2021,3,2021-01-23,"Diseases of the genitourinary system","N00-N99",42
"Alabama","01","2021 Week 04 ending January 30, 2021","2021/04",2021,4,2021-01-30,"Diseases of the genitourinary system","N00-N99",21
"Alabama","01","2021 Week 05 ending February 06, 2021","2021/05",2021,5,2021-02-06,"Diseases of the genitourinary system","N00-N99",24
"Alabama","01","2021 Week 06 ending February 13, 2021","2021/06",2021,6,2021-02-13,"Diseases of the genitourinary system","N00-N99",26
"Alabama","01","2021 Week 07 ending February 20, 2021","2021/07",2021,7,2021-02-20,"Diseases of the genitourinary system","N00-N99",25
"Alabama","01","2021 Week 08 ending February 27, 2021","2021/08",2021,8,2021-02-27,"Diseases of the genitourinary system","N00-N99",15
"Alabama","01","2021 Week 09 ending March 06, 2021","2021/09",2021,9,2021-03-06,"Diseases of the genitourinary system","N00-N99",17
"Alabama","01","2021 Week 10 ending March 13, 2021","2021/10",2021,10,2021-03-13,"Diseases of the genitourinary system","N00-N99",24
"Alabama","01","2021 Week 11 ending March 20, 2021","2021/11",2021,11,2021-03-20,"Diseases of the genitourinary system","N00-N99",15
"Alabama","01","2021 Week 12 ending March 27, 2021","2021/12",2021,12,2021-03-27,"Diseases of the genitourinary system","N00-N99",30
"Alabama","01","2021 Week 13 ending April 03, 2021","2021/13",2021,13,2021-04-03,"Diseases of the genitourinary system","N00-N99",14
"Alabama","01","2021 Week 14 ending April 10, 2021","2021/14",2021,14,2021-04-10,"Diseases of the genitourinary system","N00-N99",27
"Alabama","01","2021 Week 15 ending April 17, 2021","2021/15",2021,15,2021-04-17,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2021 Week 16 ending April 24, 2021","2021/16",2021,16,2021-04-24,"Diseases of the genitourinary system","N00-N99",23
