"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","MCD - ICD Chapter","MCD - ICD Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","2020 Week 52 ending December 26, 2020","2020/52","Diseases of the circulatory system","I00-I99",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 52 ending December 26, 2020","2020/52","Diseases of the genitourinary system","N00-N99",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 53 ending January 02, 2021","2020/53","Diseases of the circulatory system","I00-I99",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 53 ending January 02, 2021","2020/53","Diseases of the genitourinary system","N00-N99",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 01 ending January 09, 2021","2021/01","Diseases of the circulatory system","I00-I99",56,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 01 ending January 09, 2021","2021/01","Diseases of the genitourinary system","N00-N99",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 02 ending January 16, 2021","2021/02","Diseases of the circulatory system","I00-I99",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 02 ending January 16, 2021","2021/02","Diseases of the genitourinary system","N00-N99",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 03 ending January 23, 2021","2021/03","Diseases of the circulatory system","I00-I99",61,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 03 ending January 23, 2021","2021/03","Diseases of the genitourinary system","N00-N99",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 04 ending January 30, 2021","2021/04","Diseases of the circulatory system","I00-I99",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 04 ending January 30, 2021","2021/04","Diseases of the genitourinary system","N00-N99",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 05 ending February 06, 2021","2021/05","Diseases of the circulatory system","I00-I99",53,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 05 ending February 06, 2021","2021/05","Diseases of the genitourinary system","N00-N99",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 06 ending February 13, 2021","2021/06","Diseases of the circulatory system","I00-I99",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 06 ending February 13, 2021","2021/06","Diseases of the genitourinary system","N00-N99",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
